Name,Parent,Orbit_Radius,Equatorial radius,Mass,Rotation period[d],Orbital period[d],Mean orbital speedkps,Eccentricity,Inclination[f],Axial tilt[i],Rings?,Mass(1E24),Texture
Sun,-1,0,1.39E+06,1.99E+06,648,648,0,0,0,0,No,"1,990,000",4k_sun.jpg
Mercury,Sun,57909175,2440.53,3.3E+023,58.646225,87.969,47.8725,0.20563069,7,0,No,0.3302,4k_mercury.jpg
Venus,Sun,108208930,6051.8,4.87E+024,243.0187,224.701,35.0214,0.00677323,3.39,177.3,No,4.869,4k_venus_surface.jpg
Earth,Sun,149597890,6378.136,5.97E+024,0.99726968,365.25636,29.7859,0.01671022,0,23.44,No,5.972,4k_earth_daymap.jpg
Mars,Sun,227936640,3396.19,6.42E+023,1.02595675,686.97,24.1309,0.09341233,1.85,25.19,No,0.64191,4k_mars.jpg
Jupiter,Sun,778412010,71492,1.9E+027,0.41354,4332.59,13.0697,0.04839266,1.31,3.12,Yes,1898.7,4k_jupiter.jpg
Saturn,Sun,1426725400,60268,5.69E+026,0.44401,10759.22,9.6724,0.0541506,2.48,26.73,Yes,568.51,4k_saturn.jpg
Uranus,Sun,2870972200,25559,8.68E+025,0.71833,30688.5,6.8352,0.04716771,0.76,97.86,Yes,86.849,4k_uranus.jpg
Neptune,Sun,4498252900,24764,1.02E+026,0.67125,60182,5.4778,0.00858587,1.77,28.32,Yes,102.44,4k_neptune.jpg
Ceres,Sun,413700000,473,9.39E+020,0.3781,1679.7502575,17.882,0.08,10.59,4,No,0.000939,4k_ceres_fictional.jpg
Pluto,Sun,5906380000,1188.3,1.3E+022,6.3872,90543.61575,4.75,0.249,17.14,119.6,No,0.013,4k_pluto.jpg
Haumea,Sun,6484000000,816,4.01E+021,0.1631,103655.8215,4.48,0.195,28.21,126,Yes,0.00401,4k_haumea_fictional.jpg
Makemake,Sun,6850000000,715,3.1E+021,0.9511,111837.2535,4.4,0.161,28.98,?,?,0.0031,4k_makemake_fictional.jpg
Eris,Sun,10210000000,1163,1.65E+022,15.7859,204170.5575,3.44,0.436,44.04,78,?,0.0165,4k_eris_fictional.jpg
Orcus,Sun,5896946000,458.5,5.48E+020,9.54,90393.866325,4.68,0.226,20.59,?,?,0.000548,
Salacia,Sun,6310600000,423,4.9E+020,1,100069.14015,4.57,0.106,23.92,?,?,0.00049,
Quaoar,Sun,6535930000,555,1.2E+021,0.7367,105178.882725,4.52,0.038,7.99,13.6,Yes,0.0012,
Gonggong,Sun,10072433340,615,1.75E+021,0.9333,201803.7861,3.63,0.506,30.74,?,?,0.00175,
Sedna,Sun,78668000000,497.5,?,0.428,4404459.3075,1.04,0.855,11.93,?,?,0.001,
Moon,Earth,384399,1738,7.35E+22,27.321582,27.32,1.022,0.0549,18.29,6.68,No,0.07347,4k_moon.jpg
